cpu,mem
5.612973500000000000e+06,2.078675875000000000e+06
5.518510500000000000e+06,2.040652500000000000e+06
5.476836500000000000e+06,2.062884625000000000e+06
5.471815000000000000e+06,2.058145000000000000e+06
5.495017500000000000e+06,2.045311875000000000e+06
5.561861500000000000e+06,2.015614125000000000e+06
5.625923000000000000e+06,1.968599500000000000e+06
5.670458500000000000e+06,1.932773250000000000e+06
5.706248000000000000e+06,1.927339750000000000e+06
5.745284000000000000e+06,1.946131750000000000e+06
5.786415500000000000e+06,1.964296500000000000e+06
5.811865000000000000e+06,1.964744250000000000e+06
5.795225000000000000e+06,1.949860500000000000e+06
5.730564500000000000e+06,1.944148250000000000e+06
5.672790500000000000e+06,1.980558250000000000e+06
5.612786500000000000e+06,2.030298250000000000e+06
5.555580500000000000e+06,2.078242000000000000e+06
5.518864500000000000e+06,2.101874250000000000e+06
5.498522000000000000e+06,2.101653500000000000e+06
5.478420000000000000e+06,2.093211125000000000e+06
5.456101000000000000e+06,2.095959750000000000e+06
5.440062500000000000e+06,2.111305750000000000e+06
5.442132000000000000e+06,2.121385250000000000e+06
5.475041500000000000e+06,2.107839500000000000e+06
5.534090500000000000e+06,2.068652875000000000e+06
5.598360000000000000e+06,2.018310000000000000e+06
5.658134500000000000e+06,1.980294500000000000e+06
5.713092000000000000e+06,1.969125500000000000e+06
5.759403000000000000e+06,1.976430750000000000e+06
5.801713000000000000e+06,1.981089750000000000e+06
5.850369500000000000e+06,1.973331750000000000e+06
5.879683500000000000e+06,1.952572000000000000e+06
5.896900500000000000e+06,1.950027500000000000e+06
5.896734500000000000e+06,1.973776000000000000e+06
5.874145000000000000e+06,2.020481500000000000e+06
5.840087500000000000e+06,2.062808125000000000e+06
5.817107500000000000e+06,2.083382500000000000e+06
5.808529000000000000e+06,2.082509875000000000e+06
5.803699500000000000e+06,2.076666625000000000e+06
5.797835500000000000e+06,2.083225500000000000e+06
5.790361500000000000e+06,2.101543250000000000e+06
5.787903000000000000e+06,2.111240750000000000e+06
5.808212000000000000e+06,2.094732250000000000e+06
5.855269500000000000e+06,2.052172250000000000e+06
5.914933000000000000e+06,1.999249125000000000e+06
5.976016000000000000e+06,1.958657750000000000e+06
6.029854000000000000e+06,1.943164250000000000e+06
6.074739500000000000e+06,1.943763000000000000e+06
6.136008000000000000e+06,1.943772500000000000e+06
6.200139000000000000e+06,1.924673250000000000e+06
6.244212500000000000e+06,1.897583250000000000e+06
6.255062500000000000e+06,1.882252750000000000e+06
6.232498000000000000e+06,1.899323750000000000e+06
6.186196000000000000e+06,1.939494500000000000e+06
6.127287500000000000e+06,1.972102000000000000e+06
6.076323500000000000e+06,1.984312750000000000e+06
6.036774500000000000e+06,1.980309250000000000e+06
5.999415500000000000e+06,1.978402250000000000e+06
5.957992000000000000e+06,1.994012750000000000e+06
5.910746000000000000e+06,2.020837125000000000e+06
5.869246500000000000e+06,2.035427875000000000e+06
5.854147500000000000e+06,2.022038875000000000e+06
5.879998500000000000e+06,1.987539500000000000e+06
5.914054000000000000e+06,1.939647000000000000e+06
5.947040500000000000e+06,1.908264500000000000e+06
5.987278000000000000e+06,1.902206500000000000e+06
6.039004500000000000e+06,1.906575250000000000e+06
6.098717500000000000e+06,1.898529250000000000e+06
6.150931000000000000e+06,1.871375000000000000e+06
6.173917000000000000e+06,1.835708000000000000e+06
6.162220500000000000e+06,1.817429500000000000e+06
6.121570500000000000e+06,1.833873000000000000e+06
6.061880500000000000e+06,1.872400000000000000e+06
6.000535000000000000e+06,1.905821500000000000e+06
5.946238500000000000e+06,1.918784250000000000e+06
5.884908500000000000e+06,1.916271750000000000e+06
5.826745000000000000e+06,1.926389500000000000e+06
5.769477500000000000e+06,1.955271750000000000e+06
5.711859000000000000e+06,1.995558750000000000e+06
5.670609500000000000e+06,2.022820625000000000e+06
5.662951500000000000e+06,2.020874250000000000e+06
5.680338500000000000e+06,1.992161250000000000e+06
5.703540000000000000e+06,1.955394500000000000e+06
5.726786000000000000e+06,1.932215000000000000e+06
5.754431000000000000e+06,1.928926500000000000e+06
5.811141000000000000e+06,1.934686500000000000e+06
5.890611500000000000e+06,1.921330250000000000e+06
5.969041000000000000e+06,1.887269250000000000e+06
6.021608500000000000e+06,1.846864250000000000e+06
6.042300500000000000e+06,1.826673000000000000e+06
6.037498000000000000e+06,1.841392500000000000e+06
6.015996500000000000e+06,1.876807750000000000e+06
5.991182000000000000e+06,1.905317250000000000e+06
5.966998500000000000e+06,1.913826750000000000e+06
5.935242500000000000e+06,1.912021500000000000e+06
5.909833500000000000e+06,1.927018000000000000e+06
5.877311500000000000e+06,1.960086750000000000e+06
5.837198000000000000e+06,2.005513875000000000e+06
5.807513500000000000e+06,2.035357750000000000e+06
5.806530000000000000e+06,2.035848250000000000e+06
5.828187500000000000e+06,2.011113750000000000e+06
5.856713000000000000e+06,1.980364000000000000e+06
5.885495000000000000e+06,1.962681250000000000e+06
5.911276000000000000e+06,1.959146750000000000e+06
5.954025500000000000e+06,1.956364750000000000e+06
6.029525000000000000e+06,1.935478750000000000e+06
6.112968000000000000e+06,1.891854750000000000e+06
6.180565000000000000e+06,1.846071750000000000e+06
6.225031500000000000e+06,1.822782250000000000e+06
6.245794500000000000e+06,1.832854250000000000e+06
6.243803500000000000e+06,1.857457250000000000e+06
6.228529500000000000e+06,1.871172250000000000e+06
6.205160500000000000e+06,1.866793750000000000e+06
6.164820500000000000e+06,1.856275000000000000e+06
6.101345000000000000e+06,1.862187500000000000e+06
6.021992000000000000e+06,1.896274000000000000e+06
5.945494500000000000e+06,1.942755250000000000e+06
5.894764500000000000e+06,1.973591500000000000e+06
5.875991500000000000e+06,1.975181250000000000e+06
5.870960500000000000e+06,1.954518500000000000e+06
5.863527000000000000e+06,1.932785250000000000e+06
5.859018500000000000e+06,1.928317500000000000e+06
5.872851500000000000e+06,1.936843750000000000e+06
5.914650000000000000e+06,1.935479250000000000e+06
5.980299500000000000e+06,1.909163000000000000e+06
6.049671000000000000e+06,1.862541000000000000e+06
6.103747000000000000e+06,1.816459000000000000e+06
6.139169500000000000e+06,1.795794250000000000e+06
6.155983500000000000e+06,1.805869250000000000e+06
6.153705500000000000e+06,1.825014500000000000e+06
6.139750000000000000e+06,1.831351750000000000e+06
6.115041000000000000e+06,1.821685750000000000e+06
6.068436500000000000e+06,1.810874500000000000e+06
5.995586000000000000e+06,1.822474250000000000e+06
5.905467000000000000e+06,1.864696250000000000e+06
5.817847500000000000e+06,1.917938250000000000e+06
5.756100000000000000e+06,1.954927000000000000e+06
5.723815000000000000e+06,1.964557250000000000e+06
5.700443500000000000e+06,1.955923500000000000e+06
5.671851000000000000e+06,1.950667750000000000e+06
5.648227000000000000e+06,1.963768500000000000e+06
5.650342000000000000e+06,1.985681875000000000e+06
