cpu,mem
5.612973500000000000e+06,2.078675875000000000e+06
5.518510500000000000e+06,2.040652500000000000e+06
5.476836500000000000e+06,2.062884625000000000e+06
5.471815000000000000e+06,2.058145000000000000e+06
5.495017500000000000e+06,2.045311875000000000e+06
5.561861500000000000e+06,2.015614125000000000e+06
5.625923000000000000e+06,1.968599500000000000e+06
5.670458500000000000e+06,1.932773250000000000e+06
5.706248000000000000e+06,1.927339750000000000e+06
5.745284000000000000e+06,1.946131750000000000e+06
5.786415500000000000e+06,1.964296500000000000e+06
5.811865000000000000e+06,1.964744250000000000e+06
5.795225000000000000e+06,1.949860500000000000e+06
5.730564500000000000e+06,1.944148250000000000e+06
5.672790500000000000e+06,1.980558250000000000e+06
5.909833500000000000e+01,1.927018000000000000e+03
5.877311500000000000e+01,1.960086750000000000e+03
5.837198000000000000e+01,2.005513875000000000e+03
5.807513500000000000e+01,2.035357750000000000e+03
5.806530000000000000e+01,2.035848250000000000e+03
5.909833500000000000e+01,1.927018000000000000e+03
5.877311500000000000e+01,1.960086750000000000e+03
5.837198000000000000e+01,2.005513875000000000e+03
5.807513500000000000e+01,2.035357750000000000e+03
5.806530000000000000e+01,2.035848250000000000e+03
5.598360000000000000e+06,2.018310000000000000e+06
5.658134500000000000e+06,1.980294500000000000e+06
5.713092000000000000e+06,1.969125500000000000e+06
5.759403000000000000e+06,1.976430750000000000e+06
5.801713000000000000e+06,1.981089750000000000e+06
5.850369500000000000e+06,1.973331750000000000e+06
5.879683500000000000e+06,1.952572000000000000e+06
5.896900500000000000e+06,1.950027500000000000e+06
5.896734500000000000e+06,1.973776000000000000e+06
5.874145000000000000e+06,2.020481500000000000e+06
5.840087500000000000e+06,2.062808125000000000e+06
5.817107500000000000e+06,2.083382500000000000e+06
5.808529000000000000e+06,2.082509875000000000e+06
5.909833500000000000e+01,1.927018000000000000e+03
5.877311500000000000e+01,1.960086750000000000e+03
5.837198000000000000e+01,2.005513875000000000e+03
5.807513500000000000e+01,2.035357750000000000e+03
5.806530000000000000e+01,2.035848250000000000e+03
5.855269500000000000e+06,2.052172250000000000e+06
5.914933000000000000e+06,1.999249125000000000e+06
5.976016000000000000e+06,1.958657750000000000e+06
6.029854000000000000e+06,1.943164250000000000e+06
6.074739500000000000e+06,1.943763000000000000e+06
6.136008000000000000e+06,1.943772500000000000e+06
6.200139000000000000e+06,1.924673250000000000e+06
6.244212500000000000e+06,1.897583250000000000e+06
6.255062500000000000e+06,1.882252750000000000e+06
6.232498000000000000e+06,1.899323750000000000e+06
6.186196000000000000e+06,1.939494500000000000e+06
6.127287500000000000e+06,1.972102000000000000e+06
6.076323500000000000e+06,1.984312750000000000e+06
6.036774500000000000e+06,1.980309250000000000e+06
5.999415500000000000e+06,1.978402250000000000e+06
5.957992000000000000e+06,1.994012750000000000e+06
5.910746000000000000e+06,2.020837125000000000e+06
5.612973500000000000e+02,2.078675875000000000e+02
5.518510500000000000e+02,2.040652500000000000e+02
5.476836500000000000e+02,2.062884625000000000e+03
5.471815000000000000e+06,2.058145000000000000e+05
5.495017500000000000e+02,2.045311875000000000e+01
5.987278000000000000e+06,1.902206500000000000e+06
6.039004500000000000e+06,1.906575250000000000e+06
5.612973500000000000e+02,2.078675875000000000e+02
5.518510500000000000e+02,2.040652500000000000e+02
5.476836500000000000e+02,2.062884625000000000e+03
5.471815000000000000e+06,2.058145000000000000e+05
5.495017500000000000e+02,2.045311875000000000e+01
6.061880500000000000e+06,1.872400000000000000e+06
6.000535000000000000e+06,1.905821500000000000e+06
5.946238500000000000e+06,1.918784250000000000e+06
5.909833500000000000e+01,1.927018000000000000e+03
5.877311500000000000e+01,1.960086750000000000e+03
5.837198000000000000e+01,2.005513875000000000e+03
5.807513500000000000e+01,2.035357750000000000e+03
5.806530000000000000e+01,2.035848250000000000e+03
5.662951500000000000e+06,2.020874250000000000e+06
5.680338500000000000e+06,1.992161250000000000e+06
5.703540000000000000e+06,1.955394500000000000e+06
5.726786000000000000e+06,1.932215000000000000e+06
5.754431000000000000e+06,1.928926500000000000e+06
5.811141000000000000e+06,1.934686500000000000e+06
5.890611500000000000e+06,1.921330250000000000e+06
5.969041000000000000e+06,1.887269250000000000e+06
6.021608500000000000e+06,1.846864250000000000e+06
6.042300500000000000e+06,1.826673000000000000e+06
6.037498000000000000e+06,1.841392500000000000e+06
6.015996500000000000e+06,1.876807750000000000e+06
5.991182000000000000e+06,1.905317250000000000e+06
5.966998500000000000e+06,1.913826750000000000e+06
5.935242500000000000e+06,1.912021500000000000e+06
5.909833500000000000e+01,1.927018000000000000e+03
5.877311500000000000e+01,1.960086750000000000e+03
5.837198000000000000e+01,2.005513875000000000e+03
5.807513500000000000e+01,2.035357750000000000e+03
5.806530000000000000e+01,2.035848250000000000e+03
